x,y,population_density,traffic_flow,competitor_count,is_commercial
13.949.386.065.204.100,4.353.963.233.997.510,22.211.768.238.048.000,5.427.831.478.680.140,1,0
29.214.464.853.521.800,9.531.201.143.941.370,7.059.429.301.553.680,6.209.869.616.098.830,0,0
3.663.618.432.936.910,7.192.452.005.758.310,4.773.077.844.784.100,8.563.350.510.799.700,0,1
45.606.998.421.703.500,93.016.520.286.255,8.705.787.127.626.530,19.065.111.364.900.900,0,0
7.851.759.613.930.130,5.275.879.732.721.650,37.643.105.183.847.900,5.218.857.722.553.730,1,1
19.967.378.215.835.900,2.589.042.747.931.390,1.294.171.688.901.120,651.168.424.653.936,3,1
5.142.344.384.136.110,5.282.668.636.472.190,8.617.364.043.530.530,20.221.925.149.344.700,1,0
5.924.145.688.620.420,7.260.848.514.838.500,4.838.208.390.150.860,13.308.058.241.221.200,2,0
4.645.041.271.999.770,12.130.299.800.553.400,-31.810.552.384.380.800,2.770.835.295.134.730,0,0
6.075.448.519.014.380,30.277.512.827.196.700,5.504.169.383.211.220,12.693.336.760.579.700,2,0
17.052.412.368.729.100,5.324.709.078.838.970,2.944.573.360.904.400,44.407.892.438.605.800,1,0
6.505.159.298.527.950,56.441.658.777.974.700,8.398.322.755.933.590,5.944.328.962.219.390,0,0
9.488.855.372.533.330,600.583.196.987.136,11.179.690.342.851.000,49.917.609.161.036.900,1,0
9.656.320.330.745.590,16.625.533.034.970.000,10.840.760.377.787.300,613.398.229.868.143,0,0
8.083.973.481.164.610,3.797.374.048.216.480,27.968.339.725.178.200,38.042.375.084.602.000,0,1
3.046.137.691.733.700,6.171.942.271.169.660,4.560.745.715.768.080,8.189.161.782.244.880,2,0
9.767.211.400.638.380,9.698.188.646.337.840,8.093.863.097.857.130,5.725.572.452.628.790,0,0
6.842.330.265.121.560,7.276.311.376.996.880,38.719.659.162.266.500,5.730.003.391.573.200,1,1
4.401.524.937.396.010,9.226.037.570.939.570,940.326.752.441.754,188.631.252.903.777,0,0
12.203.823.484.477.800,762.212.058.314.177,11.833.577.580.514.900,51.053.170.602.387.000,0,0
4.951.769.101.112.700,59.171.696.889.240.000,9.085.685.915.297.140,20.374.607.999.062.900,6,1
34.388.521.115.218.300,19.202.336.913.634.400,-22.985.489.914.347.200,4.135.397.969.470.290,0,0
909.320.402.078.782,6.666.856.518.925.130,1.003.678.752.358.760,6.278.697.950.314.740,1,1
2.587.799.816.000.160,62.337.956.595.990.700,4.118.155.447.888.940,4.631.810.952.825.920,0,0
662.522.284.353.982,6.024.691.704.572.660,6.021.471.522.040.600,9.836.419.134.781.390,10,1
31.171.107.608.941.000,48.978.586.798.824.000,674.797.442.801.658,8.368.876.355.110.320,4,0
5.200.680.211.778.100,5.286.566.039.892.750,1.008.984.597.140.100,1.872.680.917.844.980,5,1
5.467.102.793.432.790,3.344.425.271.181.040,7.200.856.458.744.010,20.433.085.573.957.600,5,1
18.485.445.552.552.700,51.931.269.264.230.300,2.878.839.869.254.920,5.336.110.304.236.080,3,1
9.695.846.277.645.580,19.755.590.567.847.800,-22.219.294.295.589.700,5.654.136.831.533.400,0,0
7.751.328.233.611.140,8.051.743.973.603.760,15.052.946.164.812.300,3.813.545.010.622.630,0,0
939.498.941.564.189,18.577.695.469.870.700,17.913.978.822.554.400,7.118.688.718.901.240,0,0
8.948.273.504.276.480,8.496.628.988.946.640,-25.150.040.135.934.600,37.816.234.020.100.900,0,0
5.978.999.788.110.850,4.362.460.263.571.570,8.837.096.745.119.520,15.313.877.182.192.400,9,1
9.218.742.350.231.160,6.583.074.395.060.610,14.200.738.968.214.000,40.072.763.809.155.400,1,0
884.925.020.519.195,43.771.682.493.354.100,11.348.722.734.681.300,43.841.658.688.623.500,0,0
1.959.828.624.191.450,2.767.541.319.513.080,23.369.630.859.876.000,5.936.350.880.965.740,1,0
4.522.728.891.053.800,55.817.118.389.044.000,7.499.642.404.942.290,6.028.036.987.171.140,0,0
3.253.303.307.632.640,34.700.233.541.219.900,49.826.630.614.043.600,6.991.482.506.694.030,4,0
388.677.289.689.482,9.328.676.901.266.330,6.341.047.774.153.390,14.162.566.018.766.400,2,0
27.134.903.177.389.500,922.645.139.603.572,10.489.038.920.341.900,7.143.525.891.279.320,1,0
8.287.375.091.519.290,5.023.718.199.720.950,23.559.633.730.501.900,41.295.641.695.009.500,1,0
3.567.533.266.935.890,3.278.839.940.182.580,5.563.600.500.217.660,11.975.320.319.579.100,3,0
28.093.450.968.738.000,7.371.324.139.566.390,25.500.344.844.473.200,49.046.133.934.520.200,1,0
5.426.960.831.582.480,3.671.294.348.306.660,5.301.278.096.376.580,18.068.469.400.677.700,1,0
14.092.422.497.476.200,4.747.690.060.436.510,22.887.542.879.285.400,5.502.787.142.205.660,0,0
8.021.969.807.540.390,3.363.233.942.703.330,2.170.545.672.031.490,43.024.023.178.401.700,0,1
7.455.064.367.977.080,9.205.358.851.025.540,-7.333.445.326.513.410,5.265.579.321.414.330,0,0
9.868.869.366.005.170,12.003.027.272.682.500,36.616.172.723.757.200,524.118.284.232.461,1,0
7.722.447.692.966.570,5.528.148.757.183.490,4.303.048.178.583.900,5.181.611.518.579.140,3,0
1.987.156.815.341.720,740.663.581.066.626,17.522.518.365.467.900,5.992.724.007.073.830,1,0
5.522.117.123.602.390,4.850.179.875.240.410,27.283.982.251.753.900,47.717.127.703.235.600,0,0
8.154.614.284.548.340,8.540.303.016.272.160,18.303.498.282.175.100,533.508.643.506.581,0,0
7.068.573.438.476.170,9.724.613.900.279.020,383.656.036.755.519,7.912.180.624.065.240,0,0
7.290.071.680.409.870,51.801.043.137.609.700,526.681.761.234.108,6.880.313.879.659.340,4,1
7.712.703.466.859.450,6.141.862.443.190.110,3.090.011.241.138.970,6.164.596.540.980.700,0,1
74.044.651.734.090.300,23.660.978.270.750.700,651.841.689.524.057,38.525.431.231.360.300,1,0
3.584.657.285.442.720,4.834.980.851.068.030,7.784.098.033.596.760,11.034.175.920.408.800,4,1
11.586.905.952.512.900,42.914.949.195.832.100,9.702.364.906.951.640,4.130.875.552.210.270,0,0
8.631.034.258.755.930,7.489.584.200.198.370,-7.766.489.417.958.450,37.391.502.255.495.500,0,0
62.329.812.682.755.700,10.616.035.354.746.700,1.038.440.850.214.910,11.942.438.462.220.700,2,0
3.308.980.248.526.490,8.374.725.196.187.740,166.277.167.273.922,7.686.150.355.201.690,0,0
6.355.835.028.602.360,23.981.995.220.659.000,9.634.728.916.068.260,5.791.713.798.424.850,1,0
3.109.823.217.156.620,19.495.827.149.863.000,2.070.873.829.343.140,8.328.009.977.337.250,3,0
32.518.332.202.674.700,5.049.114.512.501.390,6.570.587.076.849.030,6.351.769.628.367.510,2,1
7.296.061.783.380.640,7.687.471.313.625.120,21.637.704.408.694.400,5.246.460.645.706.160,0,1
6.375.574.713.552.130,6.194.651.857.898.790,6.114.476.381.231.420,936.398.033.736.648,0,1
8.872.127.425.763.260,57.680.791.963.825.500,1.523.138.328.832.590,45.456.945.333.796.700,1,1
4.722.149.251.619.490,11.921.044.284.057.300,17.909.339.132.721.000,1.988.720.047.264.070,1,0
11.959.424.593.830.100,36.461.050.825.618.400,47.444.824.979.396.800,47.685.208.961.305.400,0,0
713.244.787.222.995,5.274.395.216.221.730,4.574.405.124.512.050,5.954.251.236.351.180,0,0
7.607.850.486.168.970,8.341.641.082.084.410,15.499.776.662.565.900,6.800.554.320.747.680,0,1
56.127.719.756.949.600,11.797.248.362.806.100,18.117.196.485.354.900,15.127.536.435.458.300,3,0
770.967.179.954.561,4.515.136.441.229.190,8.857.222.928.219.440,6.618.575.668.437.970,0,0
49.379.559.636.439.000,43.789.988.714.291.200,10.187.753.714.275.000,19.426.868.505.099.100,4,1
5.227.328.293.819.940,8.439.934.719.420.240,236.175.494.090.204,19.539.269.423.208.100,0,0
4.275.410.183.585.490,26.240.837.648.930.100,4.373.804.452.894.540,16.009.356.756.495.700,5,1
2.541.912.674.409.510,4.217.126.175.259.160,10.505.539.193.368.900,6.543.081.012.980.590,1,0
10.789.142.699.330.400,39.922.532.563.751.200,7.271.456.583.816.470,37.758.996.470.620.400,0,0
3.142.918.568.673.420,44.907.851.413.487.500,6.124.067.392.630.760,5.011.992.485.693.990,1,0
6.364.104.112.637.800,57.761.308.063.713.300,7.198.830.668.373.270,11.443.436.529.175.700,3,0
31.435.598.107.632.600,57.090.705.375.214.400,6.052.268.581.772.000,606.644.793.887.195,2,0
5.085.706.911.647.020,33.242.669.217.436.500,7.247.724.459.111.870,19.025.110.318.529.500,3,1
907.566.473.926.093,3.155.331.806.631.350,1.202.787.749.621.620,4.855.528.692.719.030,0,0
24.929.222.914.887.400,10.662.361.893.659.700,8.298.989.843.444.280,47.608.138.366.045.900,0,0
41.038.292.303.562.900,3.667.983.206.462.680,7.276.239.099.656.190,14.223.525.376.672.800,2,1
7.555.511.385.430.480,9.949.466.887.296.460,1.044.637.208.495.460,522.290.849.367.885,0,0
22.879.816.549.162.200,7.665.959.447.120.510,15.462.982.088.242.200,6.028.864.748.767.660,2,0
7.697.990.982.879.290,9.662.742.977.481.850,37.979.386.552.173.400,4.659.233.542.300.380,0,0
289.751.452.913.768,9.700.744.566.667.060,2.770.377.231.945.690,7.723.569.709.367.110,1,0
16.122.128.725.400.400,8.650.710.993.753.930,5.795.291.259.827.040,4.050.533.674.257.780,0,0
9.296.976.523.425.730,6.007.921.493.396.190,8.419.182.295.706.510,37.495.455.940.967.200,1,0
808.120.379.564.417,70.086.569.724.388,18.264.755.758.610.600,7.056.522.666.345.410,1,0
6.334.037.565.104.230,28.520.580.268.041.400,4.383.832.239.547.370,10.502.937.053.146.000,2,0
8.714.605.901.877.170,63.077.042.017.262.000,18.425.832.130.467.600,37.042.176.517.373.800,2,0
8.036.720.768.991.140,4.556.495.494.398.770,28.612.291.441.520.800,3.407.098.512.468.730,2,0
18.657.005.888.603.500,4.820.173.397.769.320,26.949.539.561.614.200,6.185.479.052.244.500,2,1
8.925.589.984.899.770,757.776.560.375.158,12.711.862.201.673.300,46.654.531.483.067.400,0,0
5.393.422.419.156.500,28.191.835.559.725.100,57.060.237.069.021.700,1.862.921.434.043.110,2,0
8.074.401.551.640.620,31.803.961.169.451.900,13.128.149.560.019.500,49.737.296.650.222.500,0,0
8.960.912.999.234.930,9.246.417.911.286.360,-21.870.964.133.265.800,601.882.190.175.953,0,0
31.800.347.497.186.300,5.622.429.485.097.220,2.014.436.829.037.650,7.683.594.476.948.680,0,0
11.005.192.452.767.600,4.856.342.984.133.400,12.055.164.165.775.500,7.351.538.250.290.410,0,0
22.793.516.254.194.100,9.128.008.004.078.610,-4.704.672.236.079.150,550.425.621.933.183,0,0
4.271.077.886.262.560,610.363.007.818.157,7.994.805.058.927.910,17.562.238.356.434.100,2,1
8.180.147.659.224.930,5.464.070.742.121.320,24.071.330.716.423.400,590.074.078.095.082,1,0
8.607.305.832.563.430,24.974.417.922.935.500,9.166.351.608.676.500,4.985.962.018.823.620,1,0
6.952.130.531.190.700,34.327.548.906.444.800,-13.519.317.856.839.100,44.131.079.589.220.800,0,0
5.107.473.025.775.650,8.520.484.158.046.920,21.459.319.322.328.100,2.024.558.521.241.810,1,0
417.411.003.148.779,55.921.813.176.845.800,8.664.415.555.977.170,16.175.479.789.232.400,9,1
22.210.781.047.073.000,5.147.421.937.567.790,4.248.938.985.623.440,47.430.538.591.898.800,1,0
1.198.653.673.336.820,9.957.971.354.002.890,6.447.816.083.271.270,5.177.259.876.776.110,0,1
337.615.171.403.628,16.028.156.455.123.100,6.204.602.234.912.890,10.249.483.818.826.500,0,0
9.429.097.039.125.190,9.636.851.886.870.490,-3.938.743.474.760.020,7.070.772.513.942.830,0,0
32.320.293.202.075.500,37.698.616.728.684.100,619.532.525.950.608,8.997.407.919.718.820,3,0
5.187.906.217.433.660,6.032.130.620.995.040,8.248.776.713.711.870,21.600.267.968.321.200,3,1
7.030.189.588.951.770,7.971.507.318.728.490,23.557.436.901.317.500,628.083.986.499.386,0,0
363.629.602.379.294,6.831.142.857.230.460,5.186.994.571.302.020,116.211.096.527.597,4,1
9.717.820.827.209.600,932.566.708.705.961,7.359.027.596.941.070,6.338.739.732.332.430,1,0
9.624.472.949.421.110,5.756.652.529.974.190,5.819.200.394.553.400,4.104.007.259.180.960,0,0
25.178.229.582.536.400,12.611.532.237.541.000,7.516.185.459.361.670,5.203.384.240.947.740,0,0
4.972.485.058.923.850,58.172.152.747.347.600,8.765.650.308.134.790,2.173.222.779.650.270,5,1
30.087.830.981.676.900,7.663.472.131.046.520,27.935.875.505.302.000,6.090.825.644.311.520,3,0
28.484.049.437.746.700,4.064.165.365.740.180,5.311.034.133.553.590,5.140.835.928.035.390,5,0
36.886.947.354.532.700,8.798.377.479.414.670,34.956.135.385.022.500,6.528.311.832.172.990,0,0
60.956.433.397.989.600,6.486.829.533.573.640,6.339.869.829.895.980,14.427.150.228.351.500,1,1
5.026.790.232.288.610,8.992.489.182.892.020,11.514.119.165.112.300,20.426.738.335.617.100,0,0
5.147.875.124.998.930,6.235.053.112.473.370,280.558.691.756.411,4.954.931.506.654.050,0,0
27.864.646.423.661.100,13.128.797.200.482.400,10.159.650.519.488.500,5.856.048.365.333.280,0,0
9.082.658.859.666.530,3.096.917.111.051.890,46.752.187.668.925.500,5.285.551.826.848.250,0,0
2.395.618.906.669.720,2.017.949.482.524.560,10.561.648.163.230.700,7.084.729.501.978.340,2,1
1.448.948.720.912.230,9.088.264.977.168.620,12.881.048.486.972.600,526.597.379.574.466,0,0
489.452.760.277.563,7.604.000.672.874.820,4.131.708.740.073.200,2.208.375.767.493.510,2,0
9.856.504.541.106.000,676.398.368.910.006,19.398.408.903.344.300,4.102.171.394.084.400,0,0
2.420.552.715.115.000,30.096.631.963.162.100,27.929.875.190.799.400,5.518.950.567.226.220,3,0
6.721.355.474.058.780,1.840.447.720.502.130,20.062.084.111.910.100,8.036.278.410.160.360,1,0
7.616.196.153.287.170,7.564.510.879.889.110,17.816.782.716.336.300,44.044.465.071.444.100,3,0
23.763.754.399.239.900,4.741.579.458.790.790,4.249.561.484.111.330,532.706.819.185.955,4,0
7.282.163.486.118.590,22.578.955.215.062.900,17.399.107.447.739.500,6.526.835.569.271.610,1,0
3.677.831.327.192.530,6.166.219.781.652.750,6.812.147.494.630.590,11.783.009.701.064.900,5,0
6.323.058.305.935.790,40.333.852.138.451.900,6.178.840.974.936.980,13.421.871.695.753.900,1,0
6.335.297.107.608.940,3.261.702.541.282.530,5.033.981.435.812.070,11.615.014.453.456.200,6,1
5.357.746.840.747.580,4.685.569.945.911.340,10.019.129.418.702.100,20.220.332.785.279.100,8,1
902.897.700.544.083,14.795.833.410.940.500,-3.854.575.750.532.090,50.694.905.301.673.000,0,0
835.302.495.589.238,9.846.544.775.908.390,15.726.652.027.143.000,6.732.349.794.774.900,0,0
3.207.800.649.717.350,20.909.736.458.961.400,2.673.308.762.486.570,10.408.813.116.536.700,2,0
18.651.851.039.985.400,13.035.313.004.326.500,808.283.804.230.432,564.128.252.667.979,0,0
4.077.514.155.476.390,2.035.348.738.868.960,24.909.427.833.921.500,4.007.736.103.644.430,0,0
5.908.929.431.882.410,7.690.611.331.597.240,35.400.283.711.757.300,14.375.371.419.588.000,0,0
6.775.643.618.422.820,4.255.056.592.718.420,6.575.150.935.392.050,8.382.532.536.264.370,2,1
16.587.828.927.856.100,56.541.593.975.253.800,7.130.961.776.504.340,5.456.624.402.759.950,0,0
512.093.058.299.281,21.009.156.986.360.700,3.816.323.730.789.510,2.058.914.361.588.010,0,0
22.649.577.519.793.700,34.431.308.573.314.500,2.288.067.077.553.240,5.816.427.980.890.640,0,0
6.451.727.904.094.490,44.582.554.982.701.600,6.785.548.749.758.030,10.236.367.651.925.300,2,0
17.436.642.900.499.100,8.166.552.432.016.230,8.048.237.177.064.880,44.385.362.470.712.500,0,0
6.909.377.381.024.650,8.852.388.787.075.650,9.669.819.776.301.770,7.824.581.147.832.860,0,0
3.867.353.463.005.370,8.670.656.759.564.020,13.479.633.454.822.000,1.475.296.010.433.180,0,0
9.367.299.887.367.340,53.836.310.210.102.200,10.125.765.308.179.600,6.021.010.973.528.930,1,0
13.752.094.414.599.300,9.132.296.862.792.700,629.210.456.316.363,5.555.740.305.730.650,0,0
3.410.663.510.502.580,38.797.275.439.788.600,6.024.427.955.037.070,10.271.652.216.604.800,5,1
11.347.352.124.058.900,8.295.658.314.283.680,7.389.216.425.301.710,46.374.837.334.981.300,0,0
9.246.936.182.785.620,1.336.956.543.994.360,37.409.663.829.515.600,44.935.525.539.968.700,0,0
877.339.353.380.981,9.353.944.896.677.980,3.910.149.379.397.720,4.264.355.506.460.780,0,0
2.579.416.277.151.550,7.514.233.175.313.020,1.743.868.396.332.390,5.675.979.155.753.190,1,1
6.599.840.460.341.790,9.413.343.927.869.010,7.068.618.783.535.500,874.961.828.430.727,0,0
8.172.222.002.012.150,6.766.172.335.525.060,13.293.327.624.206.800,6.306.210.256.942.590,1,0
5.552.008.115.994.620,363.403.931.999.427,7.543.582.268.858.990,1.740.490.842.909.320,4,1
52.965.057.835.600.600,9.381.811.725.247.220,102.934.016.673.586,18.552.192.838.574.800,1,0
2.418.522.909.004.510,27.556.677.630.917.800,21.599.691.611.792.400,7.478.394.612.603.120,1,0
9.310.276.780.589.920,3.321.725.220.617.320,5.726.253.261.773.410,45.524.344.199.865.800,0,0
8.972.157.579.533.260,7.008.084.180.017.400,10.943.680.522.034.300,5.159.151.019.980.430,0,0
9.004.180.571.633.300,7.653.162.995.253.860,5.280.164.551.383.670,5.456.271.275.034.030,1,0
6.331.014.572.732.670,9.294.034.838.491.530,6.526.783.495.037.950,10.049.069.531.447.600,0,0
3.390.297.910.487.000,2.048.024.090.562.090,2.446.291.985.601.530,10.341.608.897.712.000,0,0
3.492.095.746.126.600,797.998.035.219.224,32.711.725.270.461.300,10.449.358.604.889.300,0,0
7.259.556.788.702.390,7.385.460.533.969.630,29.397.438.784.853.000,7.726.335.980.048.840,1,0
8.971.102.599.525.770,6.379.455.625.359.780,4.778.858.151.813.150,4.326.424.233.419.430,0,0
8.870.864.242.651.170,38.722.314.121.020.600,14.414.848.143.200.700,51.074.904.089.758.600,0,0
7.798.755.458.576.230,2.827.654.570.600.980,21.324.484.977.802.900,533.801.086.268.483,1,0
6.420.316.461.542.870,3.044.904.243.540.300,4.100.446.977.121.360,1.073.455.674.600.870,3,1
8.413.996.499.504.880,9.829.468.795.547.000,-14.132.159.245.966.800,3.548.020.103.504.340,0,0
16.162.871.409.461.300,6.427.774.134.799.270,17.084.065.075.934.300,5.159.798.605.718.680,1,0
8.985.541.885.270.790,7.176.761.577.934.990,19.689.998.423.932.700,35.788.670.596.962.700,0,0
60.642.905.965.958.900,9.766.176.373.150.090,16.012.288.321.781.200,13.872.173.129.979.400,1,0
9.197.051.616.629.640,3.772.017.824.576.380,-18.646.039.838.823.700,2.871.439.038.188.610,0,0
10.147.154.286.603.200,801.840.168.452.806,4.282.435.081.736.790,31.537.496.065.569.500,1,0
6.635.017.691.080.550,4.345.309.633.044.950,7.031.532.316.430.680,9.759.447.346.617.150,4,1
5.061.583.846.218.680,8.695.336.718.149.790,4.169.218.837.150.550,44.532.334.507.519.500,1,0
16.080.805.141.749.800,1.806.575.413.113.030,7.878.867.187.252.950,40.597.616.282.611.000,0,0
5.487.337.893.665.860,9.476.861.770.642.790,50.361.914.273.062.000,19.591.304.165.820.600,1,0
6.918.951.976.926.930,21.877.170.841.087.900,17.686.321.831.187.400,7.707.058.342.219.720,0,0
6.519.612.595.026.000,32.622.050.698.093.100,460.979.367.720.428,10.599.790.929.780.500,1,1
2.242.693.094.605.590,7.561.922.341.067.800,13.213.182.153.766.400,5.168.859.871.289.350,1,0
712.179.221.347.536,3.937.551.415.654.060,4.680.113.850.206.720,9.259.035.129.081.330,1,0
23.724.908.749.680.000,6.082.113.767.664.460,3.596.645.098.089.370,48.707.657.948.498.000,1,0
32.539.969.815.926.700,4.445.735.010.694.280,62.697.217.460.457.500,1.001.121.720.739.290,2,0
7.464.914.051.180.240,7.423.699.370.897.810,23.469.500.189.238.500,5.657.665.224.504.790,2,1
6.496.328.990.472.140,22.833.125.236.861.000,29.349.682.282.172.400,8.242.133.138.588.260,2,1
849.223.410.494.178,58.457.987.236.877,19.351.783.383.474.500,5.516.564.187.958.240,0,0
6.576.128.923.003.430,29.992.939.747.306.600,4.786.761.143.616.210,9.646.457.950.255.030,2,0
56.830.860.333.547.100,4.743.086.648.684.300,9.001.845.054.152.500,15.827.378.854.325.300,4,1
9.367.476.782.809.240,1.680.200.521.926.780,4.458.141.178.831.560,40.816.800.178.557.000,1,0
3.677.158.030.594.330,3.547.972.896.563.880,61.695.084.069.280.600,11.228.511.301.315.100,3,1
26.520.236.768.172.500,39.998.301.829.356.800,4.330.038.061.849.610,6.302.456.403.170.500,3,1
24.398.964.337.908.300,5.739.184.368.827.350,6.463.864.296.780.060,309.541.951.031.027,1,0
9.730.105.547.524.450,5.833.072.481.842.040,8.230.970.077.039.900,6.053.329.259.887.330,0,0
3.930.977.246.667.600,8.843.434.279.712.870,10.838.963.873.472.700,12.976.475.021.371.300,0,0
8.920.465.551.771.130,15.174.291.295.305.200,26.686.760.348.214.500,36.751.474.045.761.600,0,0
6.311.386.259.972.620,597.808.013.401.514,724.098.677.244.795,12.289.342.295.615.300,1,1
7.948.113.035.416.480,6.647.392.049.108.460,23.215.984.695.362.400,5.170.821.362.035.920,0,0
5.026.370.931.051.920,4.193.346.804.192.880,9.393.542.332.966.970,2.121.095.098.842.550,6,0
5.769.038.846.263.590,70.109.758.736.427,5.686.530.302.158.900,1.659.799.545.915.830,1,1
4.925.176.938.188.630,410.731.543.491.012,9.595.333.215.899.660,199.565.555.312.199,3,1
1.952.429.877.980.440,5.046.372.879.774.340,26.719.268.704.302.700,49.915.800.394.810.000,3,0
7.224.521.152.615.050,735.304.455.442.698,2.225.770.083.190.710,6.746.108.366.968.790,0,0
2.807.723.624.408.550,6.917.201.141.346.880,31.912.556.554.879.500,594.311.049.538.224,2,0
2.431.596.643.145.380,6.613.426.789.447.240,6.081.134.876.801.760,41.476.104.679.221.100,0,0
6.454.722.959.071.670,38.400.877.326.344.500,49.914.984.951.653.700,1.081.658.048.330.860,0,0
17.711.067.940.704.800,3.682.501.073.951.330,22.905.876.695.211.500,4.937.202.012.909.100,0,1
9.404.585.843.529.140,9.790.318.407.916.670,-13.877.010.874.134.000,5.034.486.727.483.410,0,0
9.539.285.770.025.870,4.207.365.625.686.160,4.833.213.900.141.510,6.089.883.043.905.300,1,0
9.148.643.902.204.480,5.019.454.051.318.410,7.292.007.309.316.930,4.888.869.494.030.400,0,0
3.701.587.002.554.440,9.099.301.581.597.180,8.518.311.818.341.480,11.471.693.208.263.000,0,0
15.456.616.528.867.400,7.172.618.758.657.560,6.199.234.115.991.140,440.047.012.364.417,0,0
9.283.185.625.877.250,5.820.701.311.242.230,9.203.551.655.363.570,5.432.297.253.253.090,1,0
4.281.841.483.173.140,7.978.046.813.410.720,32.824.774.903.608.600,16.940.195.508.167.200,4,0
9.666.548.190.436.690,8.643.662.664.559.730,6.244.435.484.076.770,5.901.055.253.658.800,0,0
9.636.199.770.892.520,4.568.880.717.372.660,744.477.097.978.623,442.119.375.442.355,0,0
85.300.945.546.736,4.751.083.649.318.350,1.922.318.668.826.570,4.571.701.663.602.990,0,0
29.444.889.206.958.500,3.860.509.356.518.350,5.153.701.877.942.070,7.606.052.053.973.730,4,0
3.850.977.286.019.250,9.667.061.400.184.600,3.937.449.772.015.190,1.300.400.159.286.370,0,0
8.511.366.715.168.560,6.971.662.542.903.500,1.165.785.139.892.170,41.253.124.382.728.300,0,0
31.692.200.515.627.700,8.322.306.620.807.220,2.940.397.398.276.100,911.371.208.922.292,0,0
1.694.927.466.860.920,8.629.596.233.130.180,7.697.186.016.175.020,33.652.410.678.834.800,0,0
5.568.012.624.583.500,4.805.599.408.362.680,944.366.029.239.488,1.854.959.085.608.920,4,1
936.154.774.160.781,6.875.390.642.248.740,14.535.040.624.980.800,37.358.978.486.938.800,0,0
696.029.796.674.973,54.971.725.516.331.100,5.686.704.189.605.500,9.081.851.363.025.260,0,0
570.061.170.089.365,41.716.427.897.570.200,8.762.610.029.060.770,15.190.940.026.090.600,0,1
9.717.649.377.076.850,877.749.404.862.625,-7.546.943.428.801.560,6.156.743.409.218.910,0,0
61.500.722.669.916.900,20.399.460.360.938.700,27.924.021.781.272.300,1.266.080.725.080.540,3,1
9.900.538.501.042.630,826.464.609.492.183,39.447.809.900.828.500,4.633.488.892.012.490,0,0
14.008.401.523.652.400,55.768.869.118.545.200,2.137.013.945.666.120,5.208.473.500.125.040,3,0
51.832.965.236.373.600,5.461.030.321.346.900,8.276.057.547.448.870,20.382.022.919.949.400,0,0
8.773.730.719.279.550,9.718.453.013.254.840,-42.614.309.453.184.100,4.107.724.670.723.740,0,0
7.407.686.177.542.040,5.126.152.441.031.990,5.733.305.264.865.040,50.108.190.639.261.400,0,0
697.015.740.995.268,2.908.768.542.315.820,40.872.424.797.243.300,7.803.526.272.196.630,1,0
7.024.840.839.871.090,4.694.068.419.892.580,6.137.109.255.174.900,5.223.699.498.405.520,3,0
3.594.911.512.197.550,857.857.783.517.489,1.350.249.242.369.690,1.000.540.245.218.800,1,0
29.359.184.426.449.300,3.049.031.243.850.630,36.141.669.596.272.000,982.286.076.884.199,2,0
8.093.611.554.785.130,1.926.763.964.867.000,7.653.517.523.243.720,4.157.271.798.883.880,1,0
